PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
219,Vinny,Del Negro,Vinny Del Negro,"Del Negro, Vinny",V. Del Negro,vinny-del-negro,1966-08-09T00:00:00,North Carolina State,USA,North Carolina State/USA,,,11,,,Inactive,0,,,,,vinny_del negro,1988,2001,N,Y,Y,1988,2,29
781,Will,Perdue,Will Perdue,"Perdue, Will",W. Perdue,will-perdue,1965-08-29T00:00:00,Vanderbilt,USA,Vanderbilt/USA,7-0,240,12,55,Center,Inactive,1610612741,Bulls,CHI,bulls,Chicago,will_perdue,1988,2000,N,Y,Y,1988,1,11
42,Monty,Williams,Monty Williams,"Williams, Monty",M. Williams,monty-williams,1971-10-08T00:00:00,Notre Dame,USA,Notre Dame ''94/USA,6-8,225,9,5,Forward,Inactive,1610612753,Magic,ORL,magic,Orlando,monty_williams,1994,2002,N,Y,Y,1994,1,24
61,Carl,Herrera,Carl Herrera,"Herrera, Carl",C. Herrera,carl-herrera,1966-12-14T00:00:00,Houston,USA,Jacksonville College; Houston/USA,,,7,,,Inactive,0,,,,,carl_herrera,1991,2008,N,Y,Y,1990,2,30
724,Cory,Alexander,Cory Alexander,"Alexander, Cory",C. Alexander,cory-alexander,1973-06-22T00:00:00,Virginia,USA,Virginia/USA,6-1,190,7,12,Guard,Inactive,1610612759,Spurs,SAS,spurs,San Antonio,cory_alexander,1995,2004,N,Y,Y,1995,1,29
990,Malik,Rose,Malik Rose,"Rose, Malik",M. Rose,malik-rose,1974-11-23T00:00:00,Drexel,USA,Drexel/USA,6-7,255,13,9,Forward,Inactive,1610612759,Spurs,SAS,spurs,San Antonio,malik_rose,1996,2008,N,Y,Y,1996,2,44
1114,Jaren,Jackson,Jaren Jackson,"Jackson, Jaren",J. Jackson,jaren-jackson,1967-10-27T00:00:00,Georgetown,USA,Georgetown/USA,6-6,225,11,2,Guard,Inactive,1610612759,Spurs,SAS,spurs,San Antonio,jaren_jackson,1989,2001,N,Y,Y,Undrafted,Undrafted,Undrafted
1002,Reggie,Geary,Reggie Geary,"Geary, Reggie",R. Geary,reggie-geary,1973-08-31T00:00:00,Arizona,,Arizona,6-2,187,1,4,Guard,Inactive,1610612759,Spurs,SAS,spurs,San Antonio,reggie_geary,1996,1997,N,Y,Y,1996,2,56
1499,Tony,Battie,Tony Battie,"Battie, Tony",T. Battie,tony-battie,1976-02-11T00:00:00,Texas Tech,USA,Texas Tech/USA,6-11,240,14,4,Center,Inactive,1610612738,Celtics,BOS,celtics,Boston,tony_battie,1997,2011,N,Y,Y,1997,1,5
677,Eric,Williams,Eric Williams,"Williams, Eric",E. Williams,eric-williams,1972-07-17T00:00:00,Providence,USA,Providence/USA,,,11,,,Inactive,0,,,,,eric_williams,1995,2006,Y,Y,Y,1995,1,14
1051,Dean,Garrett,Dean Garrett,"Garrett, Dean",D. Garrett,dean-garrett,1966-11-27T00:00:00,Indiana,USA,Indiana/USA,6-11,250,5,22,Center,Inactive,1610612750,Timberwolves,MIN,timberwolves,Minnesota,dean_garrett,1996,2001,N,Y,Y,1988,2,38
1517,Bobby,Jackson,Bobby Jackson,"Jackson, Bobby",B. Jackson,bobby-jackson,1973-03-13T00:00:00,Minnesota,USA,Minnesota/USA,6-1,185,12,24,Guard,Inactive,1610612758,Kings,SAC,kings,Sacramento,bobby_jackson,1997,2008,N,Y,Y,1997,1,23
179,Bryant,Stith,Bryant Stith,"Stith, Bryant",B. Stith,bryant-stith,1970-12-10T00:00:00,Virginia,USA,Virginia ''92/USA,6-5,210,10,23,Guard,Inactive,1610612743,Nuggets,DEN,nuggets,Denver,bryant_stith,1992,2002,N,Y,Y,1992,1,13
1504,Danny,Fortson,Danny Fortson,"Fortson, Danny",D. Fortson,danny-fortson,1976-03-27T00:00:00,Cincinnati,USA,Cincinnati/USA,6-8,260,9,21,Center-Forward,Inactive,1610612743,Nuggets,DEN,nuggets,Denver,danny_fortson,1997,2006,N,Y,Y,1997,1,10
968,Priest,Lauderdale,Priest Lauderdale,"Lauderdale, Priest",P. Lauderdale,priest-lauderdale,1973-08-31T00:00:00,,USA,Central State (Ohio)/USA,7-4,325,1,30,Center,Inactive,1610612743,Nuggets,DEN,nuggets,Denver,priest_lauderdale,1996,1997,N,Y,Y,1996,1,28
271,Johnny,Newman,Johnny Newman,"Newman, Johnny",J. Newman,johnny-newman,1963-11-28T00:00:00,Richmond,USA,Richmond/USA,6-7,210,15,2,Forward,Inactive,1610612749,Bucks,MIL,bucks,Milwaukee,johnny_newman,1986,2001,N,Y,Y,1986,2,29
924,Anthony,Goldwire,Anthony Goldwire,"Goldwire, Anthony",A. Goldwire,anthony-goldwire,1971-09-06T00:00:00,Houston,USA,Houston/USA,,,7,,,Inactive,0,,,,,anthony_goldwire,1995,2005,N,Y,Y,1994,2,52
341,Joe,Wolf,Joe Wolf,"Wolf, Joe",J. Wolf,joe-wolf,1964-12-17T00:00:00,North Carolina,USA,North Carolina/USA,,,10,,,Inactive,0,,,,,joe_wolf,1987,1998,N,Y,Y,1987,1,13
1540,Eric,Washington,Eric Washington,"Washington, Eric",E. Washington,eric-washington,1974-03-24T00:00:00,Alabama,USA,Alabama/USA,6-4,190,2,14,Forward-Guard,Inactive,1610612743,Nuggets,DEN,nuggets,Denver,eric_washington,1997,1998,N,Y,Y,1997,2,46
678,George,Zidek,George Zidek,"Zidek, George",G. Zidek,george-zidek,1973-08-02T00:00:00,California-Los Angeles,USA,UCLA/USA,,,2,,,Inactive,0,,,,,george_zidek,1995,1997,N,Y,Y,1995,1,22
252,Karl,Malone,Karl Malone,"Malone, Karl",K. Malone,karl-malone,1963-07-24T00:00:00,Louisiana Tech,USA,Louisiana Tech ''86/USA,6-9,259,19,32,Forward,Inactive,1610612762,Jazz,UTA,jazz,Utah,karl_malone,1985,2003,N,Y,Y,1985,1,13
935,Bryon,Russell,Bryon Russell,"Russell, Bryon",B. Russell,bryon-russell,1970-12-31T00:00:00,Long Beach State,USA,Long Beach State/USA,,,12,,,Inactive,0,,,,,bryon_russell,1993,2005,N,Y,Y,1993,2,45
731,Greg,Ostertag,Greg Ostertag,"Ostertag, Greg",G. Ostertag,greg-ostertag,1973-03-06T00:00:00,Kansas,USA,Kansas/USA,,,10,,,Inactive,0,,,,,greg_ostertag,1995,2005,Y,Y,Y,1995,1,28
204,Jeff,Hornacek,Jeff Hornacek,"Hornacek, Jeff",J. Hornacek,jeff-hornacek,1963-05-03T00:00:00,Iowa State,USA,Iowa State/USA,6-4,190,13,14,Guard,Inactive,1610612762,Jazz,UTA,jazz,Utah,jeff_hornacek,1986,1999,N,Y,Y,1986,2,46
458,Howard,Eisley,Howard Eisley,"Eisley, Howard",H. Eisley,howard-eisley,1972-12-04T00:00:00,Boston College,USA,Boston College/USA,6-2,185,11,10,Guard,Inactive,1610612762,Jazz,UTA,jazz,Utah,howard_eisley,1994,2005,N,Y,Y,1994,2,30
1000,Shandon,Anderson,Shandon Anderson,"Anderson, Shandon",S. Anderson,shandon-anderson,1973-12-31T00:00:00,Georgia,USA,Georgia/USA,6-6,215,9,49,Guard-Forward,Inactive,1610612752,Knicks,NYK,knicks,New York,shandon_anderson,1996,2005,N,Y,Y,1996,2,54
1521,Jacque,Vaughn,Jacque Vaughn,"Vaughn, Jacque",J. Vaughn,jacque-vaughn,1975-02-11T00:00:00,Kansas,USA,Kansas/USA,6-1,190,12,11,Guard,Inactive,1610612762,Jazz,UTA,jazz,Utah,jacque_vaughn,1997,2008,N,Y,Y,1997,1,27
228,Adam,Keefe,Adam Keefe,"Keefe, Adam",A. Keefe,adam-keefe,1970-02-22T00:00:00,Stanford,USA,Stanford/USA,6-9,230,8,32,Forward,Inactive,1610612762,Jazz,UTA,jazz,Utah,adam_keefe,1992,2000,N,Y,Y,1992,1,10
156,Antoine,Carr,Antoine Carr,"Carr, Antoine",A. Carr,antoine-carr,1961-07-23T00:00:00,Wichita State,USA,Wichita State/USA,,,15,,,Inactive,0,,,,,antoine_carr,1984,1999,N,Y,Y,1983,1,8
323,Greg,Foster,Greg Foster,"Foster, Greg",G. Foster,greg-foster,1968-10-03T00:00:00,Texas-El Paso,USA,Texas-El Paso ''90/USA,6-11,250,12,43,Center,Inactive,1610612762,Jazz,UTA,jazz,Utah,greg_foster,1990,2002,N,Y,Y,1990,2,35
356,Chris,Morris,Chris Morris,"Morris, Chris",C. Morris,chris-morris,1966-01-20T00:00:00,Auburn,USA,Auburn/USA,6-8,228,10,34,Forward,Inactive,1610612751,Nets,NJN,nets,New Jersey,chris_morris,1988,1998,N,Y,Y,1988,1,4
1607,Troy,Hudson,Troy Hudson,"Hudson, Troy",T. Hudson,troy-hudson,1976-03-13T00:00:00,Southern Illinois,USA,Southern Illinois/USA,,,10,,,Inactive,0,,,,,troy_hudson,1997,2007,Y,Y,Y,Undrafted,Undrafted,Undrafted
109,Robert,Horry,Robert Horry,"Horry, Robert",R. Horry,robert-horry,1970-08-25T00:00:00,Alabama,USA,Alabama/USA,6-10,240,16,25,Forward-Center,Inactive,1610612747,Lakers,LAL,lakers,Los Angeles,robert_horry,1992,2007,N,Y,Y,1992,1,11
296,Rick,Fox,Rick Fox,"Fox, Rick",R. Fox,rick-fox,1969-07-24T00:00:00,North Carolina,Canada,North Carolina ''91/Canada,6-7,235,13,17,Forward,Inactive,1610612747,Lakers,LAL,lakers,Los Angeles,rick_fox,1991,2003,N,Y,Y,1991,1,24
399,Sean,Rooks,Sean Rooks,"Rooks, Sean",S. Rooks,sean-rooks,1969-09-09T00:00:00,Arizona,USA,Arizona ''92/USA,6-10,260,12,45,Center,Inactive,1610612746,Clippers,LAC,clippers,Los Angeles,sean_rooks,1992,2003,N,Y,Y,1992,2,30
224,Eddie,Jones,Eddie Jones,"Jones, Eddie",E. Jones,eddie-jones,1971-10-20T00:00:00,Temple,USA,Temple/USA,6-6,200,14,6,Guard-Forward,Inactive,1610612748,Heat,MIA,heat,Miami,eddie_jones,1994,2007,N,Y,Y,1994,1,10
89,Nick,Van Exel,Nick Van Exel,"Van Exel, Nick",N. Van Exel,nick-van-exel,1971-11-27T00:00:00,Cincinnati,USA,Cincinnati/USA,6-1,190,12,31,Guard,Inactive,1610612747,Lakers,LAL,lakers,Los Angeles,nick_van exel,1993,2005,N,Y,Y,1993,2,37
977,Kobe,Bryant,Kobe Bryant,"Bryant, Kobe",K. Bryant,kobe-bryant,1978-08-23T00:00:00,Lower Merion,USA,Lower Merion HS (PA)/USA,6-6,212,19,24,Forward-Guard,Inactive,1610612747,Lakers,LAL,lakers,Los Angeles,kobe_bryant,1996,2015,N,Y,Y,1996,1,13
965,Derek,Fisher,Derek Fisher,"Fisher, Derek",D. Fisher,derek-fisher,1974-08-09T00:00:00,Arkansas-Little Rock,USA,Arkansas-Little Rock/USA,6-1,210,17,6,Guard,Inactive,1610612747,Lakers,LAL,lakers,Los Angeles,derek_fisher,1996,2013,N,Y,Y,1996,1,24
916,Corie,Blount,Corie Blount,"Blount, Corie",C. Blount,corie-blount,1969-01-04T00:00:00,Cincinnati,USA,Cincinnati ''93/USA,6-10,242,11,44,Forward-Center,Inactive,1610612741,Bulls,CHI,bulls,Chicago,corie_blount,1993,2003,N,Y,Y,1993,1,25
468,Jon,Barry,Jon Barry,"Barry, Jon",J. Barry,jon-barry,1969-07-25T00:00:00,Georgia Tech,USA,Georgia Tech/USA,,,13,,,Inactive,0,,,,,jon_barry,1992,2005,N,Y,Y,1992,1,21
712,Mario,Bennett,Mario Bennett,"Bennett, Mario",M. Bennett,mario-bennett,1973-08-01T00:00:00,Arizona State,USA,Arizona State ''95/USA,6-9,235,4,24,Center-Forward,Inactive,1610612747,Lakers,LAL,lakers,Los Angeles,mario_bennett,1995,2002,N,Y,Y,1995,1,27
922,Elden,Campbell,Elden Campbell,"Campbell, Elden",E. Campbell,elden-campbell,1968-07-23T00:00:00,Clemson,USA,Clemson/USA,7-0,279,15,41,Center-Forward,Inactive,1610612747,Lakers,LAL,lakers,Los Angeles,elden_campbell,1990,2004,N,Y,Y,1990,1,27
